"filename", "language", "HTML", "CSS", "JavaScript", "JSON", "Firebase Rules", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\.VSCodeCounter\2021-08-26_03-28-10\details.md", "Markdown", 0, 0, 0, 0, 0, 87, 0, 0, 6, 93
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\.VSCodeCounter\2021-08-26_03-28-10\results.md", "Markdown", 0, 0, 0, 0, 0, 28, 0, 0, 7, 35
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\.github\workflows\firebase-hosting-merge.yml", "YAML", 0, 0, 0, 0, 0, 0, 16, 2, 2, 20
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\.github\workflows\firebase-hosting-pull-request.yml", "YAML", 0, 0, 0, 0, 0, 0, 13, 2, 2, 17
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\backend\UpdateProduct.html", "HTML", 93, 0, 0, 0, 0, 0, 0, 0, 14, 107
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\backend\UpdateProduct.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 14, 14, 67
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\backend\index.css", "CSS", 0, 423, 0, 0, 0, 0, 0, 1, 65, 489
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\backend\index.html", "HTML", 131, 0, 0, 0, 0, 0, 0, 31, 69, 231
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\backend\index.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 138, 40, 207
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\backend\temp.htm", "HTML", 617, 0, 0, 0, 0, 0, 0, 225, 181, 1023
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\backend\temp1.html", "HTML", 504, 0, 0, 0, 0, 0, 0, 99, 3, 606
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\firebase.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 43, 0, 55
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\firestore.rules", "Firebase Rules", 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\functions\.eslintrc.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\functions\index.js", "JavaScript", 0, 0, 205, 0, 0, 0, 0, 64, 62, 331
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\functions\package-lock.json", "JSON", 0, 0, 0, 3041, 0, 0, 0, 0, 1, 3042
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\functions\package.json", "JSON", 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\about.html", "HTML", 81, 0, 0, 0, 0, 0, 0, 0, 5, 86
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\address\address.css", "CSS", 0, 210, 0, 0, 0, 0, 0, 10, 44, 264
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\address\address.html", "HTML", 266, 0, 0, 0, 0, 0, 0, 65, 58, 389
