Date : 2021-10-06 20:21:51
Directory : c:\Users\digan\Downloads\Petziee.com\dev
Total : 142 files,  51368 codes, 8693 comments, 9458 blanks, all 69519 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| HTML           |         65 |     23,267 |      6,094 |      3,342 |     32,703 |
| CSS            |         40 |     15,967 |      1,248 |      3,986 |     21,201 |
| JavaScript     |         28 |      8,895 |      1,304 |      2,109 |     12,308 |
| JSON           |          4 |      3,084 |         43 |          2 |      3,129 |
| Markdown       |          2 |        115 |          0 |         13 |        128 |
| YAML           |          2 |         29 |          4 |          4 |         37 |
| Firebase Rules |          1 |         11 |          0 |          2 |         13 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                 |        142 |     51,368 |      8,693 |      9,458 |     69,519 |
| Petziee                                                                                                                                                                                           |        142 |     51,368 |      8,693 |      9,458 |     69,519 |
| Petziee\.VSCodeCounter                                                                                                                                                                            |          2 |        115 |          0 |         13 |        128 |
| Petziee\.VSCodeCounter\2021-08-26_03-28-10                                                                                                                                                        |          2 |        115 |          0 |         13 |        128 |
| Petziee\.github                                                                                                                                                                                   |          2 |         29 |          4 |          4 |         37 |
| Petziee\.github\workflows                                                                                                                                                                         |          2 |         29 |          4 |          4 |         37 |
| Petziee\backend                                                                                                                                                                                   |          7 |      1,836 |        508 |        386 |      2,730 |
| Petziee\functions                                                                                                                                                                                 |          4 |      3,290 |         64 |         65 |      3,419 |
| Petziee\shopingweb                                                                                                                                                                                |        125 |     46,075 |      8,074 |      8,988 |     63,137 |
| Petziee\shopingweb\address                                                                                                                                                                        |          2 |        476 |         75 |        102 |        653 |
| Petziee\shopingweb\blog                                                                                                                                                                           |         21 |      5,894 |      1,810 |      2,364 |     10,068 |
| Petziee\shopingweb\cart                                                                                                                                                                           |         10 |      3,962 |        524 |      1,003 |      5,489 |
| Petziee\shopingweb\cart\all css                                                                                                                                                                   |          3 |         11 |         42 |          5 |         58 |
| Petziee\shopingweb\cart\product js                                                                                                                                                                |          4 |      3,350 |        330 |        851 |      4,531 |
| Petziee\shopingweb\cart\product js\js                                                                                                                                                             |          4 |      3,350 |        330 |        851 |      4,531 |
| Petziee\shopingweb\contact us                                                                                                                                                                     |          2 |        621 |        116 |        152 |        889 |
| Petziee\shopingweb\css                                                                                                                                                                            |          2 |        232 |          7 |          0 |        239 |
| Petziee\shopingweb\dp                                                                                                                                                                             |         46 |     24,217 |      3,800 |      3,530 |     31,547 |
| Petziee\shopingweb\dp\js                                                                                                                                                                          |          1 |         85 |         46 |         29 |        160 |
| Petziee\shopingweb\dp\product css                                                                                                                                                                 |         14 |      7,563 |      1,111 |      1,667 |     10,341 |
| Petziee\shopingweb\dp\product css\all css                                                                                                                                                         |          3 |         11 |         42 |          4 |         57 |
| Petziee\shopingweb\dp\product css\drools css                                                                                                                                                      |          3 |      2,172 |        288 |        473 |      2,933 |
| Petziee\shopingweb\dp\product css\n & d css                                                                                                                                                       |          3 |      2,210 |        292 |        484 |      2,986 |
| Petziee\shopingweb\dp\product css\pedigri css                                                                                                                                                     |          3 |      1,877 |        241 |        407 |      2,525 |
| Petziee\shopingweb\dp\product css\royal canin css                                                                                                                                                 |          2 |      1,293 |        248 |        299 |      1,840 |
| Petziee\shopingweb\dp\product js                                                                                                                                                                  |          4 |      3,350 |        330 |        851 |      4,531 |
| Petziee\shopingweb\dp\product js\js                                                                                                                                                               |          4 |      3,350 |        330 |        851 |      4,531 |
| Petziee\shopingweb\dp\templetes                                                                                                                                                                   |          3 |      1,502 |        343 |        250 |      2,095 |
| Petziee\shopingweb\event                                                                                                                                                                          |          1 |         87 |          0 |         15 |        102 |
