"filename", "language", "JavaScript", "HTML", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\firebase.json", "JSON", 0, 0, 0, 7, 0, 10, 0, 17
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\PRODUCT\css\bootstrap.min.css", "CSS", 0, 0, 4, 0, 0, 6, 2, 12
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\PRODUCT\css\mdb-pro.min.css", "CSS", 0, 0, 6, 0, 0, 27, 0, 33
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\PRODUCT\css\mdb.ecommerce.min.css", "CSS", 0, 0, 1, 0, 0, 9, 2, 12
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\PRODUCT\js\bootstrap.js", "JavaScript", 3347, 0, 0, 0, 0, 325, 850, 4522
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\PRODUCT\js\mdb.ecommerce.min.js", "JavaScript", 1, 0, 0, 0, 0, 1, 0, 2
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\PRODUCT\js\mdb.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\PRODUCT\js\popper.min.js", "JavaScript", 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\PRODUCT\product.html", "HTML", 0, 501, 0, 0, 0, 104, 94, 699
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\PRODUCT\tryle.css", "CSS", 0, 0, 297, 0, 0, 18, 48, 363
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\PRODUCT\zzzzzz.css", "CSS", 0, 0, 35, 0, 0, 60, 15, 110
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\PRODUCT\zzzzzzz.html", "HTML", 0, 572, 0, 0, 0, 81, 103, 756
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\PRODUCT\zzzzzzzzz.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\about.html", "HTML", 0, 84, 0, 0, 0, 0, 2, 86
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\app.js", "JavaScript", 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\blog\Jquery3.4.1.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\blog\all.css", "CSS", 0, 0, 2963, 0, 0, 6, 1427, 4396
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\blog\aos.css", "CSS", 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\blog\aos.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\blog\blog.css", "CSS", 0, 0, 601, 0, 0, 30, 152, 783
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\blog\blog.html", "HTML", 0, 166, 0, 0, 0, 117, 36, 319
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\blog\font.css", "CSS", 0, 0, 20, 0, 0, 5, 4, 29
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\blog\index.html", "HTML", 0, 325, 0, 0, 0, 52, 36, 413
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\blog\main.js", "JavaScript", 36, 0, 0, 0, 0, 4, 8, 48
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\blog\owl.carousel.min.js", "JavaScript", 2, 0, 0, 0, 0, 5, 1, 8
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\blog\owl.css", "CSS", 0, 0, 1, 0, 0, 5, 0, 6
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\blog\owndefault.css", "CSS", 0, 0, 1, 0, 0, 5, 1, 7
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\blog\style.css", "CSS", 0, 0, 620, 0, 0, 28, 168, 816
"c:\Users\digan\Downloads\shopingweb-20210825T192405Z-001\shopingweb\cart\cart.html", "HTML", 0, 301, 0, 0, 0, 68, 48, 417
